-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.018,  0.115
-183.800, 80.200, 0.000,  0.148
-183.800, 80.199, -0.003,  0.181
-183.800, 80.198, -0.005,  0.214
-183.800, 80.198, -0.005,  0.247
-183.800, 80.197, -0.003,  0.280
-183.801, 80.196, -0.000,  0.313
-183.801, 80.196, 0.003,  0.346
-183.801, 80.195, 0.008,  0.379
-183.801, 80.193, 0.014,  0.412
-183.801, 80.192, 0.024,  0.445
-183.801, 80.189, 0.106,  0.478
-183.800, 80.185, 0.126,  0.511
-183.800, 80.179, 0.165,  0.544
-183.798, 80.173, 0.191,  0.577
-183.797, 80.167, 0.185,  0.610
-183.795, 80.161, 0.186,  0.643
-183.794, 80.155, 0.199,  0.676
-183.791, 80.148, 0.237,  0.709
-183.787, 80.139, 0.242,  0.742
-183.782, 80.132, 0.232,  0.775
-183.778, 80.124, 0.226,  0.808
-183.773, 80.117, 0.239,  0.841
-183.768, 80.110, 0.218,  0.874
-183.763, 80.103, 0.210,  0.907
-183.758, 80.096, 0.230,  0.940
-183.753, 80.089, 0.237,  0.973
-183.746, 80.081, 0.255,  1.006
-183.740, 80.072, 0.254,  1.039
-183.734, 80.064, 0.298,  1.072
-183.725, 80.052, 0.342,  1.105
-183.716, 80.041, 0.345,  1.138
-183.708, 80.030, 0.353,  1.171
-183.699, 80.019, 0.340,  1.204
-183.691, 80.009, 0.335,  1.237
-183.682, 79.998, 0.352,  1.270
-183.673, 79.987, 0.368,  1.303
-183.663, 79.975, 0.376,  1.336
-183.653, 79.964, 0.387,  1.369
-183.643, 79.952, 0.389,  1.402
-183.633, 79.940, 0.394,  1.435
-183.622, 79.928, 0.411,  1.468
-183.611, 79.916, 0.388,  1.501
-183.601, 79.905, 0.379,  1.534
-183.591, 79.894, 0.366,  1.567
-183.581, 79.883, 0.377,  1.600
-183.570, 79.873, 0.368,  1.633
-183.559, 79.861, 0.408,  1.666
-183.548, 79.849, 0.401,  1.699
-183.536, 79.837, 0.420,  1.732
